resolution,dataset,mod_full_aic,mod_demand_aic,mod_supply_aic
5km,mene,11317.264193496958,11494.287423343392,11947.358995911889
10km,mene,5845.333836738971,5948.418346227589,6327.144166575569
25km,mene,1590.2688093620193,1621.9768443048777,1735.2133318017904
50km,mene,511.5077218107631,510.08092400147905,572.1268196683374
5km,flickr,12507.710211744941,12773.904782397049,12564.344934724084
10km,flickr,6403.465374575355,6601.555236333341,6484.871190262898
25km,flickr,1790.1067886291748,1837.169061181033,1807.997868275394
50km,flickr,585.088605327906,586.1729288579788,593.8198301883243
