resolution,dataset,mod_full_aic,mod_demand_aic,mod_supply_aic
5km,flickr,18890.189304570045,19688.633886476913,18938.788097785662
10km,flickr,11080.69008252857,11447.762908459852,11160.648250444694
25km,flickr,3007.1249279649232,3050.198665090498,3039.9582066078056
50km,flickr,889.6653248113666,886.3127861159787,894.0034301422079
5km,mene,9566.220625079224,9811.577162862637,9601.515468751675
10km,mene,5774.7317164844635,5864.488940178711,5905.764665258599
25km,mene,1792.6518843192696,1798.5331376577765,1858.977147028333
50km,mene,596.091399378822,585.6045592022411,606.8804118219125
