resolution,mod_full_aic,mod_demand_aic,mod_supply_aic
1km,15027.724227511828,15222.946197257568,15082.253947769967
5km,9682.625186933106,9951.392137359342,10180.444986645914
10km,5760.747082113128,5880.2122140133515,6263.203293833926
25km,1890.7826980722296,1921.0395204177717,2097.8205405151125
50km,752.3349859206484,745.5832318856458,813.477005579694
100km,288.26505581799665,285.59746924501593,313.43108999486776
